GENE_ID	locusLine	RASMC_WCE_UNSTIM_POOLED	RASMC_WCE_BRD4_UNSTIM_NEW	RASMC_WCE_PDGF_2H_POOLED	RASMC_WCE_BRD4_PDGF_2H_NEW	RASMC_WCE_PDGF_24H_POOLED	RASMC_WCE_PDGF_24H_NEW	RASMC_BRD4_UNSTIM_REP1	RASMC_BRD4_UNSTIM_NEW	RASMC_BRD4_PDGF_2H_REP2	RASMC_BRD4_PDGF_2H_NEW	RASMC_BRD4_PDGF_24H_REP2	RASMC_BRD4_PDGF_24H_NEW
PPARA	chr7(.):126528760-126593839	0.3559	0.2091	0.3341	0.2214	0.3191	0.2088	0.4908	0.28	0.3529	0.2957	0.8501	0.3652
ETS1	chr8(.):33812156-33876402	0.1977	0.1948	0.2463	0.2148	0.1931	0.1908	0.2394	0.2379	0.3586	0.2525	0.3557	0.251
KLF13	chr1(.):124754574-124818703	0.3266	0.1563	0.2746	0.1555	0.2823	0.1642	0.4214	0.1606	0.2897	0.1664	0.5685	0.2098
ZBTB38	chr8(.):104653337-104709576	0.2221	0.1976	0.2189	0.2219	0.2091	0.201	0.2612	0.3012	0.2321	0.3213	0.4593	0.4833
PBX1	chr13(.):86621322-86677056	0.3052	0.2017	0.2644	0.1987	0.2595	0.2011	0.331	0.2195	0.2687	0.2301	0.3523	0.2561
STAT6	chr7(.):70900240-70949141	0.3531	0.1964	0.3489	0.2077	0.3334	0.2017	0.4104	0.2272	0.379	0.234	0.6944	0.2971
RARA	chr10(.):86829400-86876576	0.2878	0.2188	0.2835	0.2408	0.2895	0.2176	0.3537	0.2605	0.3139	0.283	0.6414	0.334
ZBTB38	chr8(.):104590739-104634831	0.2429	0.1928	0.1961	0.193	0.1994	0.1904	0.3012	0.2192	0.2041	0.2233	0.367	0.293
HOXB3,HOXB4	chr10(.):84161443-84205450	0.2148	0.1956	0.1913	0.2002	0.2094	0.1954	0.2647	0.2527	0.2457	0.2699	0.4429	0.3317
CREB3	chr5(.):58993143-59033436	0.2979	0.2415	0.2607	0.2453	0.2296	0.2238	0.4098	0.275	0.3544	0.2861	0.4849	0.327
HNF1B	chr10(.):71176394-71214299	0.2155	0.1692	0.213	0.1941	0.2202	0.1764	0.2601	0.2581	0.3073	0.2688	0.3527	0.3342
HOXA2	chr4(.):82125279-82162203	0.2719	0.1974	0.2386	0.1935	0.2346	0.19	0.3984	0.256	0.2835	0.2646	0.6358	0.3447
NR1D1,THRA	chr10(.):86677721-86714532	0.3792	0.2401	0.3815	0.2524	0.3391	0.2393	0.5034	0.2916	0.4634	0.3097	0.789	0.3812
TEAD1	chr1(.):177587791-177623726	0.3998	0.1968	0.4227	0.214	0.4245	0.2101	0.3971	0.2128	0.5416	0.2248	0.7234	0.2578
SMAD7	chr18(.):71388317-71423251	0.4615	0.2362	0.4258	0.2448	0.3931	0.2319	0.6899	0.3276	0.5586	0.363	1.095	0.4178
ZFP281	chr13(.):53572919-53606248	0.2421	0.1749	0.2496	0.1765	0.2455	0.1719	0.3354	0.2637	0.4003	0.282	0.6789	0.4208
MAFG	chr10(.):109792172-109823815	0.3003	0.191	0.2962	0.2102	0.3023	0.2014	0.292	0.2003	0.3496	0.2099	0.6133	0.2287
ESRRA	chr1(.):222222121-222253173	0.4048	0.4314	0.4351	0.4537	0.3978	0.4153	0.4467	0.4467	0.4224	0.4421	0.7348	0.4833
MYC	chr7(.):102636836-102666965	0.3599	0.2082	0.3984	0.218	0.3171	0.2056	0.4114	0.2398	0.4963	0.2385	0.4428	0.2752
ELK3	chr7(.):34085144-34115234	0.3337	0.1948	0.3862	0.2099	0.3231	0.187	0.3865	0.2091	0.5577	0.2193	0.6296	0.2359
MAZ	chr1(.):198435907-198465804	0.2969	0.3232	0.3043	0.3565	0.3143	0.3284	0.3312	0.3428	0.2936	0.3694	0.601	0.459
MEF2D	chr2(.):187492974-187522483	0.2543	0.1995	0.2492	0.2142	0.2433	0.205	0.3194	0.2474	0.2568	0.2587	0.5297	0.3122
JUNB	chr19(.):26079301-26108479	0.355	0.2489	0.3691	0.2547	0.3348	0.245	0.4955	0.3824	0.6615	0.4001	0.8495	0.4778
NOTCH1	chr3(.):3938140-3966962	0.2109	0.1919	0.2201	0.2111	0.2221	0.2002	0.2151	0.2078	0.295	0.2023	0.4567	0.2442
SMAD3	chr8(.):68573942-68602582	0.2008	0.1885	0.2051	0.2125	0.2093	0.1926	0.2483	0.2281	0.2517	0.2289	0.3947	0.2719
NFE2L2	chr3(.):62458481-62486846	0.2516	0.1963	0.2487	0.2034	0.2192	0.2238	0.281	0.2238	0.3223	0.2284	0.364	0.2548
RUNX1	chr11(.):32770214-32798294	0.1893	0.19	0.2596	0.2259	0.2109	0.1961	0.2702	0.3241	0.4952	0.3337	0.6044	0.3727
NFE2L2	chr3(.):62499881-62527705	0.3107	0.2425	0.3311	0.2594	0.2757	0.2563	0.3467	0.2442	0.4171	0.2618	0.4298	0.3221
TEAD1	chr1(.):177492818-177520437	0.3595	0.1921	0.3841	0.2158	0.3405	0.2034	0.3827	0.209	0.4794	0.2116	0.613	0.246
FOXN1	chr10(.):65620320-65647886	0.2802	0.1789	0.3647	0.2124	0.2956	0.1901	0.4035	0.2858	0.8824	0.2928	0.8718	0.3482
TEAD3	chr20(.):7905974-7933317	0.2596	0.2351	0.2976	0.241	0.2319	0.2074	0.348	0.2799	0.4462	0.2996	0.5846	0.3335
GATA6	chr18(.):2402438-2429691	0.2417	0.123	0.2154	0.1355	0.1977	0.1179	0.3037	0.1439	0.2497	0.1736	0.283	0.195
MEIS1	chr14(.):103169648-103196866	0.2126	0.2004	0.2181	0.2147	0.1761	0.1865	0.2975	0.2817	0.3599	0.3127	0.3733	0.3438
GLIS2	chr10(.):11107986-11135141	0.3556	0.2452	0.3474	0.2655	0.3439	0.2212	0.539	0.2994	0.448	0.3072	0.8505	0.3502
PIF1	chr8(.):71100132-71127043	0.2717	0.2215	0.2511	0.2324	0.2621	0.2123	0.2732	0.201	0.2499	0.225	0.5018	0.2534
NR2F6	chr16(.):19754935-19781120	0.3284	0.2064	0.3071	0.2181	0.3188	0.2037	0.4298	0.2354	0.3457	0.2514	0.6728	0.301
ETV4	chr10(.):89745988-89772032	0.2442	0.1916	0.2405	0.1987	0.2326	0.189	0.2305	0.2079	0.2111	0.2062	0.3765	0.2252
MEIS1	chr14(.):103305720-103331420	0.2199	0.1957	0.2132	0.1884	0.1762	0.176	0.3576	0.3092	0.3564	0.339	0.5281	0.4146
CREB3L2	chr4(.):64888771-64914118	0.2326	0.2004	0.2541	0.2063	0.2278	0.1995	0.2375	0.2175	0.2391	0.2121	0.3666	0.2382
ZBTB7A	chr7(.):11391944-11416513	0.4028	0.2138	0.4026	0.2244	0.3466	0.1913	0.4138	0.2029	0.382	0.2329	0.6739	0.2492
DBP	chr1(.):101681021-101705104	0.4813	0.2218	0.5023	0.2219	0.4363	0.2226	0.597	0.2394	0.464	0.2546	0.9681	0.317
GLIS2,TFAP4	chr10(.):11160693-11184355	0.3403	0.232	0.35	0.2521	0.3109	0.2311	0.4182	0.2798	0.3729	0.2927	0.7084	0.3365
MAFK	chr12(.):16979564-17002746	0.2039	0.1692	0.22	0.1956	0.2052	0.187	0.2075	0.1706	0.1967	0.186	0.3813	0.1993
FOXP1	chr4(.):131449399-131472499	0.3089	0.1983	0.3049	0.2109	0.2596	0.1831	0.3446	0.2756	0.3861	0.2946	0.4106	0.3384
FOS	chr6(.):109279857-109302251	0.3164	0.2019	0.3094	0.1871	0.316	0.1873	0.3311	0.2009	0.3544	0.2123	0.5264	0.2811
MEIS1	chr14(.):102895039-102917356	0.2214	0.2143	0.2568	0.2142	0.212	0.1943	0.3077	0.3679	0.5239	0.3918	0.2483	0.4618
HES7	chr10(.):55639697-55661886	0.3924	0.2404	0.3746	0.2688	0.3578	0.2244	0.4401	0.2698	0.4152	0.2719	0.5468	0.3227
RUNX1	chr11(.):32854229-32876027	0.2187	0.2064	0.2738	0.2264	0.2342	0.2044	0.296	0.3197	0.4388	0.3168	0.6258	0.44
BHLHE40	chr4(.):140700081-140721791	0.2353	0.1857	0.2249	0.1995	0.2356	0.1771	0.3008	0.2841	0.2801	0.2861	0.5187	0.349
SIX2	chr6(.):9077159-9098731	0.3029	0.1822	0.27	0.1774	0.2908	0.1725	0.3646	0.1941	0.2658	0.1973	0.5773	0.2762
SMAD7	chr18(.):71477053-71498439	0.2331	0.1425	0.2423	0.1563	0.2409	0.1539	0.2516	0.162	0.2302	0.1628	0.5108	0.1735
MNT	chr10(.):61674450-61695395	0.3041	0.2167	0.3334	0.2415	0.3118	0.2311	0.3493	0.2366	0.3937	0.2501	0.5665	0.2791
FOSL2	chr6(.):25601169-25622004	0.3483	0.1849	0.4035	0.1957	0.3142	0.1852	0.4866	0.2327	0.6335	0.2445	0.7145	0.307
ZFP689	chr1(.):198897517-198918279	0.3974	0.3138	0.365	0.3584	0.3911	0.3273	0.4283	0.3551	0.3991	0.3675	0.6515	0.4055
ID1	chr3(.):148201600-148222334	0.2531	0.2061	0.248	0.2023	0.2585	0.2179	0.2956	0.2252	0.2949	0.2243	0.4635	0.2894
SOX12	chr3(.):147862054-147882747	0.2741	0.2047	0.2741	0.2244	0.2656	0.2252	0.3425	0.229	0.2906	0.2388	0.5479	0.3027
NFIL3	chr17(.):12259655-12280339	0.2238	0.1733	0.3255	0.2094	0.2418	0.1944	0.238	0.218	0.3432	0.2267	0.4866	0.2536
SOX4	chr17(.):37607366-37627990	0.295	0.2039	0.2188	0.1939	0.2391	0.1941	0.4103	0.2271	0.2424	0.2493	0.5235	0.3264
ERF	chr1(.):82134571-82155138	0.4088	0.2212	0.3923	0.2545	0.3771	0.2158	0.4748	0.2547	0.4363	0.286	0.8816	0.3294
RFX3	chr1(.):246395941-246416079	0.4228	0.3296	0.4499	0.3711	0.4268	0.3407	0.4567	0.3629	0.5956	0.357	0.4588	0.4469
FOXJ2	chr4(.):155641897-155661856	0.2684	0.2011	0.2786	0.206	0.2679	0.1974	0.3547	0.2224	0.3326	0.243	0.5396	0.2917
ZFP672	chr10(.):43755578-43775269	0.2902	0.2093	0.3013	0.2222	0.2807	0.2286	0.277	0.2221	0.3776	0.2252	0.3689	0.258
FOSL2	chr6(.):25708732-25728395	0.2965	0.2002	0.3938	0.2309	0.2937	0.1968	0.2879	0.2411	0.6204	0.2296	0.3371	0.2425
ZFPM1	chr19(.):55033064-55052692	0.3201	0.2261	0.3476	0.2441	0.3416	0.22	0.4259	0.321	0.4601	0.3318	0.967	0.422
RARG	chr7(.):143846709-143866223	0.3599	0.2172	0.33	0.2272	0.3324	0.2103	0.4367	0.254	0.3429	0.2662	0.8613	0.335
ZFP668	chr1(.):199271803-199290899	0.3407	0.2994	0.2914	0.3384	0.294	0.3138	0.3585	0.33	0.3329	0.343	0.4588	0.3884
SREBF1	chr10(.):46537945-46556874	0.2823	0.1974	0.2641	0.2141	0.2696	0.212	0.2981	0.2058	0.3032	0.2067	0.53	0.2536
RXRA	chr3(.):6306886-6325425	0.2527	0.2175	0.302	0.2259	0.2651	0.2319	0.331	0.2854	0.379	0.2938	0.6596	0.3753
NR2F2	chr1(.):131443564-131462055	0.3247	0.1806	0.285	0.1812	0.2844	0.1933	0.5032	0.23	0.3633	0.2434	0.6831	0.3218
JUNB	chr19(.):26139258-26157673	0.3413	0.2342	0.3333	0.2524	0.2948	0.2287	0.3761	0.2293	0.3982	0.2514	0.5358	0.2749
ERF	chr1(.):82105588-82123707	0.3988	0.2199	0.4095	0.2446	0.3565	0.22	0.4679	0.2625	0.3799	0.2893	0.7641	0.3241
KLF3	chr14(.):45158490-45176461	0.222	0.2169	0.1949	0.2283	0.2099	0.2201	0.2507	0.2368	0.2377	0.2569	0.3131	0.2826
MZF1	chr1(.):65535958-65553889	0.3932	0.2024	0.4162	0.2287	0.3786	0.1993	0.4496	0.2239	0.4259	0.2247	0.6776	0.2675
GATA6	chr18(.):2353514-2371429	0.1563	0.0925	0.1405	0.0941	0.1331	0.0893	0.215	0.115	0.1443	0.1221	0.2162	0.1548
BTD	chr16(.):7778242-7795653	0.319	0.2068	0.2775	0.2102	0.3177	0.1891	0.4908	0.2696	0.3594	0.3149	0.933	0.3491
ESRRA	chr1(.):222164113-222181511	0.394	0.4348	0.4081	0.4806	0.3786	0.424	0.4007	0.4342	0.4575	0.4554	0.6987	0.508
HNF1B	chr10(.):71150935-71168192	0.2177	0.1766	0.2124	0.2153	0.1825	0.1834	0.2576	0.2582	0.3444	0.2503	0.3185	0.3145
MLX	chr10(.):88990390-89007565	0.3541	0.245	0.3342	0.261	0.3263	0.2361	0.3927	0.2618	0.3455	0.2791	0.6683	0.354
CAP1	chr5(.):140576502-140593636	0.337	0.2377	0.3096	0.2475	0.2878	0.2336	0.4448	0.2581	0.5141	0.2711	0.6353	0.3603
ZFPM1	chr19(.):54982249-54999191	0.2138	0.2168	0.3101	0.2121	0.2872	0.1988	0.2939	0.324	0.4449	0.3485	0.9033	0.4328
RELA	chr1(.):221032363-221048697	0.4015	0.4065	0.4346	0.4321	0.3848	0.3499	0.4358	0.3973	0.368	0.3972	0.6898	0.4027
PIF1	chr8(.):71074858-71091032	0.2276	0.1908	0.2431	0.2098	0.2235	0.1892	0.2715	0.2106	0.2779	0.2168	0.3866	0.3036
FIZ1	chr1(.):72326563-72342719	0.3874	0.2286	0.3893	0.2376	0.3203	0.2213	0.4848	0.2805	0.5148	0.2914	0.6922	0.3238
JUN	chr5(.):114002868-114018672	0.2157	0.2213	0.1958	0.2132	0.2135	0.1946	0.308	0.2668	0.4273	0.2829	0.5464	0.3617
IRF7	chr1(.):214250970-214266510	0.2544	0.3947	0.3299	0.439	0.2496	0.3666	0.251	0.4057	0.3319	0.4273	0.3871	0.4265
ESRRA	chr1(.):222195530-222210894	0.4783	0.4841	0.43	0.5042	0.441	0.4496	0.614	0.5579	0.5335	0.5878	1.0039	0.6996
CREB3	chr5(.):59054067-59069106	0.3042	0.2312	0.2962	0.2382	0.2404	0.2261	0.4158	0.2749	0.3643	0.291	0.4246	0.3171
IRF7	chr1(.):214206123-214219585	0.3178	0.4215	0.3195	0.4516	0.3085	0.414	0.3402	0.41	0.3333	0.4145	0.4964	0.4719
JUN	chr5(.):114107577-114120657	0.2582	0.2026	0.254	0.2054	0.2659	0.2204	0.42	0.2697	0.3746	0.2891	0.9642	0.3871
IRF1	chr10(.):39099584-39112047	0.3792	0.2501	0.3363	0.2498	0.3379	0.2508	0.4687	0.2784	0.3805	0.2886	1.0149	0.3988
BCL6	chr11(.):80252797-80265039	0.2774	0.2388	0.2776	0.2538	0.2403	0.2457	0.3473	0.2971	0.2923	0.3252	0.7159	0.3866
TGIF1	chr9(.):119180932-119193145	0.4556	0.2568	0.5174	0.2836	0.4156	0.2485	0.8134	0.43	1.0747	0.4505	1.5106	0.5031
MYC	chr7(.):102582692-102594821	0.4095	0.2472	0.4841	0.2701	0.3749	0.2575	0.5963	0.3985	0.8343	0.4027	0.8721	0.4666
MAFK	chr12(.):16924452-16936209	0.3442	0.2409	0.327	0.2295	0.3047	0.2227	0.4164	0.2205	0.3319	0.24	0.5874	0.3102
JUND	chr16(.):20501518-20513238	0.3355	0.2113	0.326	0.225	0.34	0.1991	0.4232	0.2157	0.4489	0.2269	0.8008	0.2758
JUND	chr16(.):20479238-20490679	0.423	0.2165	0.391	0.2366	0.3741	0.2261	0.5372	0.253	0.3614	0.2924	0.9409	0.3396
PRRX2	chr3(.):9677128-9688529	0.3537	0.2294	0.303	0.2398	0.3269	0.2761	0.4116	0.2118	0.3845	0.2534	0.7085	0.315
STAT6	chr7(.):70963477-70973620	0.4476	0.2498	0.4118	0.2595	0.3983	0.2358	0.7425	0.3537	0.5958	0.3694	1.2035	0.4901
RELA	chr1(.):220945681-220955775	0.5	0.4551	0.5543	0.4606	0.4963	0.4264	0.5398	0.4573	0.6218	0.4672	0.9744	0.5274
SMAD6	chr8(.):68960065-68970047	0.2841	0.2334	0.266	0.2657	0.2723	0.2666	0.394	0.2883	0.3829	0.3198	0.662	0.3838
ZBTB3	chr1(.):225010013-225019508	0.5354	0.4082	0.5124	0.4312	0.4659	0.3478	0.5595	0.4174	0.5254	0.4533	0.7662	0.4961
ATF7	chr7(.):144269446-144278553	0.5034	0.2395	0.4672	0.2942	0.4159	0.2649	0.711	0.3965	0.5374	0.4254	1.0067	0.5784
PRRX2	chr3(.):9623808-9632782	0.252	0.2162	0.2381	0.2692	0.2204	0.2861	0.3011	0.3198	0.3801	0.3354	0.6242	0.4924
ZBTB12	chr20(.):4570641-4578977	0.2459	0.202	0.2404	0.2026	0.2555	0.2125	0.3037	0.2351	0.3471	0.2471	0.518	0.3218
IRF3	chr1(.):101007859-101016141	0.5312	0.2592	0.5405	0.2801	0.4406	0.2443	0.6259	0.2907	0.6174	0.2668	0.7581	0.3363
RELA	chr1(.):220988258-220996138	0.5032	0.45	0.5038	0.468	0.4372	0.3905	0.5866	0.4948	0.5548	0.4976	0.7945	0.5572
PRRX1	chr13(.):81210343-81217949	0.3652	0.1984	0.3423	0.2312	0.3238	0.244	0.5883	0.3324	0.7401	0.332	0.9467	0.4159
SF1	chr1(.):221732858-221740298	0.572	0.5075	0.5752	0.5685	0.5061	0.5216	0.5829	0.5778	0.5976	0.5951	0.644	0.6405
DEAF1	chr1(.):214315390-214321704	0.4106	0.4735	0.4111	0.4936	0.3799	0.4743	0.462	0.5669	0.4427	0.5835	0.6563	0.7471
ZFPM1	chr19(.):55105349-55111556	0.2329	0.2315	0.2721	0.2474	0.243	0.2508	0.2181	0.2113	0.2618	0.2349	0.426	0.3283
ZBTB3	chr1(.):224969938-224976022	0.5756	0.4772	0.541	0.5132	0.5001	0.3976	0.5967	0.5421	0.6353	0.5505	0.8998	0.6224
ZFP668	chr1(.):199318227-199324301	0.4993	0.4367	0.529	0.5179	0.4399	0.4326	0.6172	0.5396	0.5297	0.5528	0.8237	0.568
ZFP689	chr1(.):198924254-198930071	0.5668	0.4338	0.5409	0.4508	0.5205	0.3961	0.6318	0.4479	0.587	0.4385	0.9648	0.5338
TEF	chr7(.):123085275-123090676	0.6847	0.3228	0.6397	0.3188	0.5612	0.3147	0.8024	0.3775	0.7165	0.3856	1.2558	0.4822
NR3C1	chr18(.):32671188-32675997	0.4522	0.1889	0.3893	0.2534	0.3749	0.2217	0.7666	0.3337	0.6077	0.3632	1.0437	0.4368
NFIA	chr5(.):116451988-116566914	0.214	0.1946	0.1739	0.2058	0.1829	0.1931	0.2319	0.2176	0.1618	0.2235	0.2165	0.2582
ARNT2	chr1(.):146446672-146514286	0.2986	0.1915	0.2569	0.1791	0.251	0.1884	0.4223	0.3049	0.2596	0.3609	0.3219	0.4813
E2F6	chr6(.):42120978-42160019	0.3906	0.1957	0.3722	0.1988	0.3456	0.194	0.6087	0.2759	0.6207	0.289	0.6128	0.3434
SOX11	chr6(.):46753270-46790011	0.2165	0.1698	0.2029	0.1557	0.1999	0.161	0.2448	0.171	0.1874	0.1904	0.2135	0.2049
NFIA	chr5(.):116401355-116434739	0.2107	0.1706	0.1553	0.1837	0.1707	0.1749	0.2818	0.2217	0.1454	0.2342	0.2871	0.296
CEBPD	chr11(.):89118111-89145161	0.1917	0.1578	0.1565	0.1426	0.1497	0.1536	0.2479	0.1961	0.2062	0.2102	0.1248	0.3723
OSR1	chr6(.):35050789-35077101	0.3668	0.1999	0.3158	0.1749	0.3447	0.1939	0.4755	0.2171	0.4457	0.2397	0.3987	0.2776
HSF2	chr20(.):38432380-38456352	0.2226	0.2074	0.2256	0.2032	0.1785	0.1977	0.2595	0.2947	0.3991	0.3074	0.1892	0.2765
OSR1	chr6(.):35308071-35326984	0.4149	0.2277	0.3088	0.2091	0.3234	0.2135	0.6313	0.2814	0.3267	0.3029	0.7086	0.3773
AHR	chr6(.):55022096-55039263	0.441	0.2167	0.4492	0.256	0.3551	0.2188	0.5781	0.3844	0.9588	0.4236	0.3074	0.5143
NFIA	chr5(.):116743536-116750000	0.261	0.2594	0.2088	0.2375	0.2035	0.2063	0.3862	0.3354	0.2143	0.3572	0.567	0.3778
SMAD6	chr8(.):68828646-68936882	0.2052	0.1837	0.1782	0.1802	0.1881	0.1832	0.2436	0.1924	0.1785	0.2036	0.3582	0.249
NFIX	chr19(.):25820820-25917431	0.2855	0.2001	0.242	0.2235	0.2695	0.2106	0.358	0.2504	0.2173	0.2734	0.669	0.3596
CREB3L2	chr4(.):64923404-64985096	0.2962	0.2079	0.2743	0.2264	0.2731	0.2131	0.3423	0.2307	0.2906	0.246	0.4548	0.2779
NFE2L2	chr3(.):62563890-62596172	0.2582	0.2036	0.2356	0.2002	0.2275	0.2284	0.3016	0.2288	0.2277	0.2396	0.3508	0.3538
CHD2	chr1(.):134935692-134964827	0.414	0.2263	0.3717	0.2239	0.3695	0.214	0.703	0.3246	0.5267	0.3394	0.8936	0.4804
SP1	chr7(.):144000678-144023833	0.4846	0.226	0.4315	0.2316	0.4183	0.2439	0.5986	0.2724	0.4076	0.2951	0.8198	0.3914
RFX5	chr2(.):196137531-196158211	0.2482	0.2025	0.2288	0.2096	0.1993	0.212	0.2588	0.195	0.1999	0.2034	0.2628	0.2342
AHR	chr6(.):54754459-54769523	0.2951	0.1691	0.2782	0.1803	0.2632	0.1841	0.3412	0.2433	0.2984	0.2634	0.2716	0.3308
ASCL2	chr1(.):216193334-216206162	0.583	0.4838	0.4976	0.4936	0.5068	0.4428	0.929	0.6027	0.4869	0.602	1.2724	0.8074
TBX2	chr10(.):73291242-73303161	0.3	0.2408	0.2578	0.1962	0.2782	0.2352	0.3701	0.2783	0.2691	0.3383	0.5721	0.5506
NR2F2	chr1(.):131966422-131977775	0.4771	0.1926	0.3955	0.208	0.3614	0.2236	0.8707	0.2755	0.6852	0.2965	0.6256	0.471
SMAD6	chr8(.):69012555-69022249	0.2505	0.2072	0.2161	0.2158	0.223	0.207	0.2941	0.2069	0.2031	0.2453	0.4267	0.3131
CHD2	chr1(.):134844574-134891387	0.4331	0.2134	0.3905	0.2223	0.3133	0.2202	0.528	0.2564	0.5034	0.2754	0.3805	0.3239
ZFP422	chr4(.):148770463-148811367	0.1992	0.1463	0.2135	0.1595	0.2006	0.1526	0.2077	0.15	0.2127	0.1542	0.2956	0.1705
TGIF1	chr9(.):119065531-119101444	0.3508	0.1955	0.4161	0.2478	0.3395	0.2074	0.4775	0.3551	0.967	0.3644	1.1154	0.3668
HMGA2	chr7(.):65471363-65503318	0.2988	0.1748	0.3508	0.1846	0.287	0.1664	0.3674	0.221	0.4897	0.2232	0.4516	0.1932
MYC	chr7(.):102941274-102962744	0.2205	0.1502	0.3125	0.1663	0.239	0.1511	0.2319	0.227	0.5135	0.211	0.1906	0.2063
SOX9	chr10(.):101146975-101165447	0.286	0.1803	0.3095	0.2101	0.2468	0.1971	0.4017	0.2906	0.6915	0.3058	0.4906	0.3
ID1	chr3(.):148257310-148275013	0.3045	0.1999	0.3063	0.2293	0.2823	0.2099	0.4352	0.2471	0.3915	0.2589	0.7278	0.2717
ARNTL	chr1(.):178016097-178031370	0.3538	0.1973	0.4185	0.2323	0.3767	0.2146	0.5268	0.2523	0.6565	0.2639	1.0477	0.3249
RUNX2	chr9(.):18656302-18670428	0.3106	0.1777	0.3483	0.2286	0.3335	0.2086	0.333	0.2477	0.4512	0.248	0.5925	0.2422
ZFP91	chr1(.):229632824-229643797	0.5021	0.3973	0.4619	0.4441	0.384	0.3777	0.629	0.4727	0.7822	0.5008	0.5863	0.5667
MYC	chr7(.):102907871-102916781	0.3015	0.1874	0.4115	0.2503	0.2978	0.2014	0.2908	0.3077	0.5763	0.2989	0.2656	0.2591
HMGA2	chr7(.):65382481-65450898	0.2697	0.1552	0.3393	0.1874	0.271	0.1596	0.2937	0.2176	0.6255	0.2053	0.408	0.1699
NFKB2	chr1(.):266064119-266106830	0.3483	0.3157	0.4313	0.3666	0.3719	0.3206	0.3599	0.3662	0.5051	0.3879	0.6676	0.4142
ARNTL	chr1(.):177965356-178006198	0.2922	0.1871	0.3492	0.2129	0.3242	0.1796	0.3332	0.2304	0.4743	0.2354	0.6229	0.2681
SMAD3	chr8(.):68610917-68647668	0.2065	0.1962	0.2319	0.2226	0.1889	0.1783	0.2231	0.2639	0.2694	0.2658	0.345	0.2765
ZFP691	chr5(.):138150018-138173692	0.1579	0.1937	0.1751	0.2166	0.1821	0.1947	0.1748	0.1986	0.1935	0.1931	0.2974	0.2424
TGIF1	chr9(.):119030186-119051743	0.1818	0.1391	0.2609	0.1808	0.2195	0.1525	0.1857	0.1927	0.4409	0.1905	0.2923	0.1666
HMGA2	chr7(.):65509976-65521503	0.3819	0.2165	0.482	0.2495	0.3868	0.2261	0.4377	0.3639	1.0436	0.3719	0.8288	0.3087
